nodeNo,x,y,region,newNodeNo
43009326,-74.161491,40.533171,0,1
42964439,-74.160924,40.532673,0,2
43009534,-74.15758,40.533756,0,3
42957772,-74.160257,40.535267,0,4
43009528,-74.161796,40.536948,0,5
43009790,-74.163048,40.547376,0,6
42948621,-74.162418,40.547334,0,7
42958716,-74.15881,40.538807,0,8
42958710,-74.158542,40.538452,0,9
42958694,-74.156481,40.536567,0,10
42958688,-74.155322,40.535928,0,11
42958421,-74.152763,40.552141,0,12
42967094,-74.154614,40.551675,0,13
43008654,-74.1550506,40.5549779,0,14
42982691,-74.155802,40.556615,0,15
42957784,-74.163947,40.532934,0,16
42986738,-74.164414,40.533503,0,17
42957786,-74.165467,40.532276,0,18
42985323,-74.165065,40.531678,0,19
42985317,-74.165875,40.532888,0,20
42956973,-74.163386,40.548916,0,21
43009356,-74.154611,40.536625,0,22
42958553,-74.189306,40.546622,0,23
42959997,-74.188768,40.547258,0,24
42959993,-74.189885,40.546039,0,25
42957774,-74.160855,40.534714,0,26
42984001,-74.161418,40.535241,0,27
43009338,-74.170855,40.529268,0,28
42957798,-74.1708687,40.5300529,0,29
43009328,-74.163504,40.532318,0,30
42957778,-74.162304,40.533881,0,31
42958556,-74.190786,40.5474,0,32
43008730,-74.153379,40.53225,0,33
42975424,-74.15254,40.532674,0,34
42958514,-74.194649,40.51928,0,35
42958499,-74.194189,40.518652,0,36
42958509,-74.19881,40.51772,0,37
42958506,-74.196996,40.517865,0,38
42958501,-74.195215,40.518289,0,39
42957402,-74.196131,40.518663,0,40
42957401,-74.196067,40.517992,0,41
43003756,-74.163759,40.550568,0,42
42958418,-74.152474,40.551464,0,43
42958725,-74.161692,40.541995,0,44
42948160,-74.160123,40.540401,0,45
42957406,-74.196199,40.519424,0,46
42988996,-74.197136,40.519126,0,47
42988992,-74.19519,40.519999,0,48
42945830,-74.1756781,40.5554,0,49
60648349,-74.172992,40.557899,0,50
60648333,-74.1741087,40.5579645,0,51
42945813,-74.1732247,40.5600643,0,52
60648354,-74.1750944,40.5569977,0,53
42956566,-74.17319,40.523486,0,54
43013242,-74.172414,40.523859,0,55
42958325,-74.177426,40.535287,0,56
42958324,-74.17791,40.535815,0,57
42956983,-74.166154,40.548605,0,58
42999044,-74.166197,40.547111,0,59
42956554,-74.17641,40.527736,0,60
43011617,-74.175568,40.528104,0,61
42950605,-74.195114,40.517559,0,62
